Country,State,District,Year,Class Studying,"Schools Surveyed (UOM:Number), Scaling Factor:1","Students Surveyed (UOM:Number), Scaling Factor:1","Average Performance Of Students On E302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E307 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E310 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E313 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E314 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M301 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M306 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M317 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M318 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M319 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1"
India,Uttar Pradesh,Kannauj,"Calendar Year (Jan - Dec), 2021",3,102,2124,45.83,43.5,55.66,41.33,51.26,54.33,58.48,42.84,31.06,47.06,49.63,48.76,39.09,59.37,43.46,48.59,43.44,35.35,37.74,45.93,38.79,60.66,43.71,38.69
India,Uttar Pradesh,Kanpur Dehat,"Calendar Year (Jan - Dec), 2021",3,123,2520,59.38,50.89,62.32,55.41,63.6,66,69.47,60.32,41.18,64.51,62.82,57.48,45.26,70.64,56.31,67.35,59.84,50.68,44.66,55.47,56,70.04,58.18,45.3
India,Uttar Pradesh,Kanpur Nagar,"Calendar Year (Jan - Dec), 2021",3,159,3732,53.83,49.36,59.23,48.3,56.81,61.08,64.88,48.83,38.5,59.34,59.07,54.46,39.38,64.47,50.57,57,49.41,41.35,41.37,51.42,47.08,69.06,51.46,50.16
India,Uttar Pradesh,Kasganj,"Calendar Year (Jan - Dec), 2021",3,96,2133,50.8,37.79,49.08,42.69,44.62,45.49,53.32,42.21,30.44,46.56,51.71,44.99,34.98,59.26,41.38,49.93,43.78,42.29,38.92,45.09,43.11,62.29,47.73,40.11
India,Uttar Pradesh,Kaushambi,"Calendar Year (Jan - Dec), 2021",3,105,2265,52.8,44.41,62.02,51.07,59.59,56.87,62.35,47.27,34.54,58.87,57.94,51.74,38.51,67.09,49.26,60.13,50.07,40.86,43.6,51.36,46.84,65.46,51.73,45.25
India,Uttar Pradesh,Kheri,"Calendar Year (Jan - Dec), 2021",3,96,2214,52.38,46.23,58.15,48.17,55.96,53.02,61.52,46.63,38.07,52.9,54.76,48.46,41.89,63.25,46.53,56.17,46.23,42.19,41.03,51.34,48.8,61.84,47.91,41.03
India,Uttar Pradesh,Kushi Nagar,"Calendar Year (Jan - Dec), 2021",3,117,2451,50.39,44.62,54.16,43.54,56.2,53.23,57.78,44.79,34.1,54.23,56.86,46.38,35.38,61.21,44.71,57.69,48.62,38.65,34.05,49.64,44.01,63.88,44.97,40.02
India,Uttar Pradesh,Lalitpur,"Calendar Year (Jan - Dec), 2021",3,90,1992,60.86,47.56,67.31,59.26,67.52,65.09,68.68,55.24,38.68,65.61,63.91,56.27,42.83,69.29,49.58,61.4,55.18,46.93,48.87,52.26,51.37,68.69,57.41,49.22
India,Uttar Pradesh,Lucknow,"Calendar Year (Jan - Dec), 2021",3,150,3588,51.74,41.21,60.61,44.88,59.5,63.91,59,43.71,38.8,56.57,57.15,51.72,39.92,62.36,41.12,48.58,37.46,34.07,34.06,50.1,39.47,63.32,45.74,43.1
India,Uttar Pradesh,Mahoba,"Calendar Year (Jan - Dec), 2021",3,87,1980,51.67,42.36,52.61,44.02,52.1,52.45,52.17,43.24,33.15,48.71,51.28,47.41,34.48,59.45,42.33,53.68,42.68,37.28,35.88,45.17,44.09,60.01,43.91,40.58
India,Uttar Pradesh,Mahrajganj,"Calendar Year (Jan - Dec), 2021",3,111,2676,50.65,40.78,56.33,45.07,57.3,54.24,59.56,47.25,36.42,56,56.77,49.95,36.15,62.78,45.05,56.45,47.26,40.61,39.83,49.71,43.39,65.67,47.6,39.94
India,Uttar Pradesh,Mainpuri,"Calendar Year (Jan - Dec), 2021",3,108,2196,54.12,50.34,61.72,43.36,59.81,59.83,63.13,51.43,37.62,56.79,58.29,51.15,36.81,61.82,44.33,61.66,46.61,39.74,39.67,51.71,42.49,64.65,48.77,44.35
India,Uttar Pradesh,Mathura,"Calendar Year (Jan - Dec), 2021",3,120,2940,60.95,49.16,62.42,57.49,66.57,65.78,68.75,54.63,39.02,62.65,64.83,59.19,44.22,71.44,52.96,63.86,53.48,47.88,43.82,60.75,49.48,72.92,57.58,53.02
India,Uttar Pradesh,Mau,"Calendar Year (Jan - Dec), 2021",3,99,2046,57.25,47.4,63.44,48.76,63.43,61.61,67.52,51.54,37.4,61.15,57.91,52.65,45.55,70.55,56.18,65.17,51.54,43.86,35.45,56.93,49.93,70.75,52.61,39.1
India,Uttar Pradesh,Meerut,"Calendar Year (Jan - Dec), 2021",3,126,2910,58.05,50.97,63.4,49.87,61.76,62.08,66.65,53.46,41.63,62.86,63.95,58.45,40.85,64.29,49.7,61.37,48.13,47.5,38.45,51.71,45.91,70.87,50.45,49.78
India,Uttar Pradesh,Mirzapur,"Calendar Year (Jan - Dec), 2021",3,105,2487,63.34,49.28,64.47,58.04,57.77,61.25,64.86,57.24,41.19,62.36,63.23,59,44.06,69.36,52.1,64.93,58.14,48.11,45.54,57.03,49.64,71.58,58.59,53.63
India,Uttar Pradesh,Moradabad,"Calendar Year (Jan - Dec), 2021",3,123,2850,58.72,55.44,61.98,57.43,62.92,63.87,67.09,57.25,42.54,62.8,62.92,56.68,40.43,68.16,51.54,64.08,50.93,48.14,39.59,52.79,47.18,75.07,51.92,49.81
India,Uttar Pradesh,Muzaffarnagar,"Calendar Year (Jan - Dec), 2021",3,114,2631,56.45,51.55,64.85,54.49,58.42,58.51,61.58,55.41,39.13,57.03,57.74,53.72,44.26,65.41,48.94,61.51,50.42,44.69,42.1,49.78,49.57,68.98,55.64,43.77
India,Uttar Pradesh,Pilibhit,"Calendar Year (Jan - Dec), 2021",3,93,2100,50.33,41.88,57.35,48.38,58.03,56.29,62.61,48.05,38.92,52.56,53.76,51.82,35.17,62.48,46.13,55.28,48.89,48.62,38.91,48.83,46.69,63.87,47.06,48.1
India,Uttar Pradesh,Pratapgarh,"Calendar Year (Jan - Dec), 2021",3,87,1674,49.72,48.12,58.89,47.36,59.47,53.78,59.48,47.82,38.81,57.14,57.69,49.73,36.58,65.28,45.9,57.07,49.06,45.83,37.19,46.89,42.89,63.26,48.15,34.73
India,Uttar Pradesh,Prayagraj,"Calendar Year (Jan - Dec), 2021",3,141,3621,51.9,43.67,57.22,49.79,60.99,60.37,61.39,50.32,39.77,55.64,57.03,49.46,41.89,62.72,49.99,56.56,49.68,42.54,42.58,49.93,46.04,65.07,50.33,43.5
India,Uttar Pradesh,Rae Bareli,"Calendar Year (Jan - Dec), 2021",3,129,2709,61.09,52.4,64.62,55.74,65.61,61.35,67.83,57.88,41.68,61.93,64.48,56.39,44.21,68.91,50,64.95,55.64,46.16,52.22,56.65,51.84,75,57.33,53.4
India,Uttar Pradesh,Rampur,"Calendar Year (Jan - Dec), 2021",3,99,1986,57.27,51.88,66.63,58.97,63.66,64.19,69.12,58.51,39.41,61.02,62.81,54.49,40.37,65.52,51.9,60.26,55.55,50.86,47.62,56.84,47.08,70.43,56.71,53.08
India,Uttar Pradesh,Saharanpur,"Calendar Year (Jan - Dec), 2021",3,111,2502,59.97,51.74,66.55,54.75,64.25,67.1,70.4,53.95,42.38,65.76,64.46,58.1,43.13,73.22,53.96,66.33,51.72,46.19,41.28,54.49,46.2,74.19,56.09,56.69
India,Uttar Pradesh,Sambhal,"Calendar Year (Jan - Dec), 2021",3,105,2562,58.59,55.97,69.22,50.88,60.2,64.42,67.23,54.09,42.84,61.12,61.84,54.79,43.03,70.79,57.36,66.33,58.88,51.72,45.93,59.3,51.38,74.6,55.62,55.41
India,Uttar Pradesh,Sant Kabir Nagar,"Calendar Year (Jan - Dec), 2021",3,111,2478,60.92,58.2,73.91,64.08,73.84,65.42,75.48,57.82,44.99,71.24,70.15,64.55,49.39,77.63,64.29,71.86,61.9,53.02,47.89,61.11,58.16,79.18,60.99,54.72
India,Uttar Pradesh,Shahjahanpur,"Calendar Year (Jan - Dec), 2021",3,117,2529,49.98,39.24,51.61,41.5,48.92,48.95,51.44,40.13,28.99,46.71,50.9,44.92,33.08,57.66,37.51,46.17,39.27,32.64,30.59,42.17,39.64,56.55,40.51,35.37
India,Uttar Pradesh,Shamli,"Calendar Year (Jan - Dec), 2021",3,93,2259,64.15,54.78,65.79,62.18,67.55,61.77,68.3,58.11,45.88,64.66,65.95,61.96,45.53,69.44,58.25,64.38,57.55,55.2,50.11,53.57,53.51,72.49,58.96,54.16
India,Uttar Pradesh,Shrawasti,"Calendar Year (Jan - Dec), 2021",3,87,2031,55.5,47.57,57.85,54.36,59.54,54.14,61.74,48.8,32.39,57.38,57.38,49.67,38.06,66.14,49.18,57.25,51.67,45.15,36.2,46.24,45.61,63.56,50.32,43.12
India,Uttar Pradesh,Siddharth Nagar,"Calendar Year (Jan - Dec), 2021",3,108,2529,65.87,60.64,68.9,61.02,65.59,63.33,69.45,61.76,43.4,63.84,64.73,58.09,43.84,72.75,58.08,69.86,60.32,56.8,47.45,59.1,58.75,73.76,62.3,49.83
India,Uttar Pradesh,Sitapur,"Calendar Year (Jan - Dec), 2021",3,114,2592,51.39,39.41,60.47,47.34,54.62,53.68,58.7,43.42,36,49.15,53.86,47.15,32.86,59.66,37.85,50.5,43.57,37.79,37.25,46.84,42.76,60.61,45.2,41.52
India,Uttar Pradesh,Sonbhadra,"Calendar Year (Jan - Dec), 2021",3,93,2037,53.96,43.24,55.95,49.07,58.07,54.88,62.25,49.29,37.53,54.14,57.57,47.8,39.81,66.4,50,55.61,43.84,35.79,34.09,51.91,46.31,65.65,49.56,42.21
India,Uttar Pradesh,Sultanpur,"Calendar Year (Jan - Dec), 2021",3,105,2193,56.04,52.32,64.19,51.3,55.98,55.25,61.39,48.89,38.71,56.82,58.62,52.12,42.27,64.46,51.37,58.07,49.42,48.62,40.42,50.84,48.23,64.95,51.44,45.6
India,Uttar Pradesh,Unnao,"Calendar Year (Jan - Dec), 2021",3,102,1956,60.5,61.27,70.6,55.83,68.7,62.9,72.06,57.55,44.34,63.87,66.32,60.89,43.39,69.67,53.03,64.1,53.92,52.55,51.64,62.18,51.98,72.81,58.29,47.83
India,Uttar Pradesh,Varanasi,"Calendar Year (Jan - Dec), 2021",3,123,2934,58.1,47.88,62.22,52.41,64.47,62.08,62.81,51.26,39.55,62.11,60.23,55.13,44.92,69.04,51.21,59.67,47.28,41.39,36.49,54.35,46.79,70.55,54,47.34
India,Uttarakhand,Almora,"Calendar Year (Jan - Dec), 2021",3,168,1794,63.11,53.6,68.12,58.6,61.78,68.43,66.04,53.12,46.21,62.86,61.93,57.65,40.41,72.71,50.34,60.62,50.77,44.76,42.12,60.1,49.49,70.36,56,54.43
India,Uttarakhand,Bageshwar,"Calendar Year (Jan - Dec), 2021",3,129,1764,55.62,47.27,63.31,52.42,64.41,67.77,63.23,47.41,43.21,58.07,60.37,51.72,38.07,65.84,44.47,52.1,47.39,36.7,36.75,55.32,40.39,64.98,48.14,47.35
India,Uttarakhand,Chamoli,"Calendar Year (Jan - Dec), 2021",3,159,2298,55.36,42.92,58.05,45.36,55.77,58.42,58.2,47.15,38.49,53.75,56.75,49.43,33.49,60.32,40.88,52.18,41.14,34.09,34.56,48.37,39.12,61.13,44.3,44.32
India,Uttarakhand,Champawat,"Calendar Year (Jan - Dec), 2021",3,111,1986,56.26,46.04,59.81,50.39,59.7,63.95,62.16,51.1,39.88,55.5,59.58,55.55,42.64,64.93,48.16,53.13,48.97,38.26,36.26,54.28,42.73,67.53,53.76,52.31
India,Uttarakhand,Dehradun,"Calendar Year (Jan - Dec), 2021",3,156,3393,56.81,46.29,60.05,50.45,57.42,64.95,60.86,49.13,40.74,55.99,59.84,56.4,41.62,63.51,45.26,50.67,43.78,38.11,37.56,51.45,40.92,66.43,51.4,47.75
India,Uttarakhand,Haridwar,"Calendar Year (Jan - Dec), 2021",3,120,2913,56.18,52.97,62.99,53.6,62.99,65.74,66.96,52.88,44.06,63.58,61.49,53.87,42.21,67.65,50.84,60.51,50.3,48.37,42.27,55.32,50.35,71.7,51.45,51.48
India,Uttarakhand,Nainital,"Calendar Year (Jan - Dec), 2021",3,129,2307,62.74,53.1,67.95,52.78,65.93,68.81,71.07,55.43,50.35,63.91,64.93,61.69,42.43,69.82,55.93,63.2,58.09,45.7,43.08,58.27,48.52,74.31,59.43,58.22
India,Uttarakhand,Pauri Garhwal,"Calendar Year (Jan - Dec), 2021",3,147,2064,62.6,50.56,62.32,49.84,61.54,67.62,64.77,46.49,46.53,63.33,61.52,58.43,40.1,66.19,50.88,58.71,50.28,40.68,40.79,58.13,49.89,70.36,57.96,58.34
India,Uttarakhand,Pithoragarh,"Calendar Year (Jan - Dec), 2021",3,150,1845,54.38,46.04,66.2,47.69,62.39,66.36,59.98,45.04,38.98,53.61,56.75,54.47,37.47,62.1,42.33,53.02,45.28,39.27,35.69,50.27,45.82,67.82,50.35,48.32
India,Uttarakhand,Rudra Prayag,"Calendar Year (Jan - Dec), 2021",3,162,1893,61.92,50.88,62.62,51.5,64.18,64.42,67.78,47.6,38.32,62.62,63.93,54.23,39.04,67.42,44.45,59.11,42.82,39.49,37.44,53.14,43.6,67.75,51.02,49.34
India,Uttarakhand,Tehri Garhwal,"Calendar Year (Jan - Dec), 2021",3,138,2118,56.72,44.19,59.16,55.37,56.68,65.58,64.14,46.35,42.15,58.18,59.74,53.36,35.54,64.78,45.86,52.62,46.37,36.88,35.68,55.61,46.21,69.35,51.33,49.64
India,Uttarakhand,Udam Singh Nagar,"Calendar Year (Jan - Dec), 2021",3,102,2352,43.98,41.09,50.26,37.66,47.83,49.54,47.39,37.16,28,40.75,43,42.88,30.76,48.77,31.6,36.73,32.09,28.82,27.79,46.42,32.39,54.76,36.19,40.29
India,Uttarakhand,Uttar Kashi,"Calendar Year (Jan - Dec), 2021",3,132,1914,58.3,46.66,58.44,50.99,62.27,61.62,61.73,44.14,35.61,56.61,57.51,50.86,34.99,66.21,44.48,55.12,50.7,37.05,37.45,50,40.35,68.12,49.17,44.94
India,West Bengal,Alipurduar,"Calendar Year (Jan - Dec), 2021",3,117,2166,62.4,46.11,64.23,46.96,63.42,68.06,66.56,52.08,36.82,60.09,58.55,54.3,36.07,63.9,47.39,52.88,46.37,38.88,37.26,56.78,44.31,70.31,48.32,47.08
India,West Bengal,Bankura,"Calendar Year (Jan - Dec), 2021",3,117,2079,66.45,58.2,70.48,56.35,71.26,65.19,71.47,59.16,45.3,69.46,69.99,64.38,57.38,73.25,63.14,67.88,66.06,59.72,50.04,62.07,61.48,75.52,61.08,52.33
India,West Bengal,Birbhum,"Calendar Year (Jan - Dec), 2021",3,90,1809,52.38,48.62,57.71,48.06,59.23,56.91,56.04,48.68,33.39,53.04,58.5,51.98,47.5,62.35,50.67,56.56,50.4,38.4,40.66,48.88,42.02,61.88,49.18,46.91
India,West Bengal,Coochbehar,"Calendar Year (Jan - Dec), 2021",3,96,2025,70.29,62.4,75.33,56.13,78.02,71.62,72.42,63.17,49.73,74.04,72.04,69.69,48.35,73.46,64.01,70.46,67.23,53.58,43.74,60.89,63.02,75.96,60.39,60.09
India,West Bengal,Dakshin Dinajpur,"Calendar Year (Jan - Dec), 2021",3,96,1743,52.67,45.24,56.11,45.48,58.75,58.68,63.5,47.1,35.04,55,56.28,48.3,45.25,57.69,45.97,57.56,49.58,43.17,37.48,50.42,41.02,61.91,44.93,44.44
India,West Bengal,Darjeeling,"Calendar Year (Jan - Dec), 2021",3,261.00000000000000000000,4104.00000000000000000000,66.7200000000000000000000,55.5000000000000000000000,70.3200000000000000000000,55.1050000000000000000000,70.0750000000000000000000,75.5650000000000000000000,70.4600000000000000000000,54.5300000000000000000000,46.4900000000000000000000,68.6800000000000000000000,69.2350000000000000000000,64.6550000000000000000000,44.5250000000000000000000,73.0350000000000000000000,59.9150000000000000000000,66.6600000000000000000000,55.1350000000000000000000,50.6700000000000000000000,35.8800000000000000000000,58.0700000000000000000000,50.6950000000000000000000,76.9650000000000000000000,58.3650000000000000000000,53.2150000000000000000000
India,West Bengal,Hooghly,"Calendar Year (Jan - Dec), 2021",3,105,2430,55.18,53.1,66.48,48.56,63.38,65.91,64.32,48.94,40,61.8,62.83,59.74,45.58,62.73,50.27,58.59,51.02,41.31,34.39,53.63,41.99,65.31,50.91,46.4
India,West Bengal,Howrah,"Calendar Year (Jan - Dec), 2021",3,84,2037,66.92,50.36,71.08,59.14,71.3,72.15,73.06,57.05,46.55,68.8,72.23,66.13,46.38,74.7,54.82,67.85,58.91,51.63,43.98,64.33,56.3,78.24,58.29,56.09
India,West Bengal,Jalpaiguri,"Calendar Year (Jan - Dec), 2021",3,114,2289,56.25,46.35,54.42,41.29,58.57,55.56,56.75,46.43,37.42,55.93,56.43,50.9,39.67,56.13,41.12,49.24,44.31,39.16,30.99,46.9,42.95,59.46,44.48,40.22
India,West Bengal,Jhargram,"Calendar Year (Jan - Dec), 2021",3,114,1734,74.11,54.4,73.27,58.81,73.34,76.48,82.13,64.33,51.68,74.64,77.91,72.11,53.92,78.15,64.24,71.93,63.25,59.76,48.79,64.27,58.15,80.18,62.83,60.49
India,West Bengal,Kalimpong,"Calendar Year (Jan - Dec), 2021",3,111,1053,64.55,54.64,70.23,57.9,68.34,76.08,69.72,49.26,43.89,68.18,66.49,60.88,34.96,68.15,48.1,63.78,54,42.8,36.01,53.85,47.66,70.31,44.54,53.09
India,West Bengal,Kolkata,"Calendar Year (Jan - Dec), 2021",3,120,2868,70.66,62.37,73.88,64.76,74.29,78.34,73.81,60.48,51.67,75.65,76.92,70.72,55.24,77.46,66.5,72.06,61.49,53.87,44.66,62.74,56.81,81.27,64.88,58.07
India,West Bengal,Malda,"Calendar Year (Jan - Dec), 2021",3,108,2709,61.29,55.05,67.49,54.68,68.31,64.7,69.73,55.02,36.85,62.75,66.51,60.51,49.64,69.43,59.34,67.82,60.37,52.74,48.76,58.1,52.3,70.91,53.41,44.1
India,West Bengal,Murshidabad,"Calendar Year (Jan - Dec), 2021",3,90,2298,69.9,61.36,75.45,61.3,74.45,71.57,77.11,64.54,48.39,73.55,73.87,68.93,54.55,75.16,65.63,75.01,64.92,61.86,56.74,66.29,59.49,78.5,63.38,58.43
India,West Bengal,Nadia,"Calendar Year (Jan - Dec), 2021",3,90,1965,61.52,50.83,67.88,46.89,68.26,73.06,71.18,54.68,41.62,63.33,66.06,60.6,51.38,67.34,56.69,63.34,53.74,48,43.58,55.42,49.7,70.67,53.14,53.69
India,West Bengal,North 24 Parganas,"Calendar Year (Jan - Dec), 2021",3,105,2211,71.32,66.39,75.55,62.7,75.66,75.44,73.15,62.94,53.12,74.34,75.87,71.39,60.65,78.77,67.58,72.68,67.4,56.83,48.99,66.67,55.89,78.76,69.07,60.17
India,West Bengal,Paschim Bardhaman,"Calendar Year (Jan - Dec), 2021",3,108,2646,64.99,54.08,68.13,55.34,65.98,66.46,64.62,49.97,41.27,64.66,66.02,60.8,44.23,69.69,49.71,62.26,55.42,43.16,38.58,56.74,47.27,73.69,59.22,49.33
India,West Bengal,Paschim Medinipur,"Calendar Year (Jan - Dec), 2021",3,129,2571,64.61,55.51,71.66,57.08,72.19,71.35,76.46,57.82,43.83,68.94,72.05,66.05,52.94,72.72,61.54,67.23,59.48,53.4,47.35,62.46,54.06,71.55,59.52,60.1
India,West Bengal,Purba Bardhaman,"Calendar Year (Jan - Dec), 2021",3,96,2013,65.01,62.21,67.73,56.42,71.22,73.68,76.63,59.45,49.77,70.47,69.13,62.98,57.27,72.41,61.25,68.5,63.05,52.33,52.1,62.71,57.08,73.52,61.33,57.66
India,West Bengal,Purba Medinipur,"Calendar Year (Jan - Dec), 2021",3,102,1962,70.59,63.93,76.04,57.08,77.97,75.76,76.38,63.05,52.15,74.59,75.6,70.95,61.02,76.19,66.55,74.27,65.26,56.87,48.45,65.92,58.6,76.95,65.94,63.04
India,West Bengal,Purulia,"Calendar Year (Jan - Dec), 2021",3,105,2316,61.9,56.63,67.7,53.8,68.2,66.85,67.16,58.06,44.62,64.41,69.55,67.12,56.57,74.67,63.72,72.47,60.67,54.2,51.19,62.48,54.31,76.5,61.45,56.57
India,West Bengal,South 24 Parganas,"Calendar Year (Jan - Dec), 2021",3,96,2289,65.93,56.04,72.16,51.11,73.1,73.61,72.32,59.89,48.27,70.63,72.47,65.61,50.2,73.52,59.61,71.97,57.04,55.45,41.94,62.27,51.8,75,57.14,56.26
India,West Bengal,Uttar Dinajpur,"Calendar Year (Jan - Dec), 2021",3,87,1992,58.09,45.79,61.88,46.59,62.39,57.86,63.41,51.41,35.63,56.72,60.79,53.6,40.83,64.5,51.57,57.47,51.06,43.4,35.68,51.49,45.45,70.08,50.49,42.35
India,Andaman And Nicobar Islands,Nicobars,"Calendar Year (Jan - Dec), 2017",3,120,1029,53.94,65.45,65.71,70.99,66.12,50.56,60.93,45.77,38.18,73.18,62.86,65.95,58.71,68.51,58.33,64.43,65.01,61.22,74.41,55.06,47.27,79.3,54.38,75.51
India,Andaman And Nicobar Islands,North And Middle Andaman,"Calendar Year (Jan - Dec), 2017",3,210,1521,56.21,54.66,64.92,70.12,68.58,64.23,63.12,62.52,41.7,74.75,67.71,64.14,62.31,69.43,55.1,65.38,61.34,59.17,82.76,49.23,43.72,82.84,53.35,83.23
India,Andaman And Nicobar Islands,South Andamans,"Calendar Year (Jan - Dec), 2017",3,210,2217,48.04,45.98,62.74,66.24,65.53,54.76,53.18,47.09,36.29,74.02,58.35,58.13,57.28,59.68,50.7,59.95,53.59,54.67,84.09,57.14,34.9,73.48,47.16,82.41
India,Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2017",3,180,2379,68.6,75.18,67.67,83.1,81.68,71.24,83.23,77.3,61.92,87.77,82.03,81.89,77.2,87.77,75.71,76.73,76.29,84.99,89.67,18.13,44.47,82.6,72.93,84.87
India,Andhra Pradesh,Chittoor,"Calendar Year (Jan - Dec), 2017",3,180,1722,58.36,66.55,61.84,78.4,72.74,61.87,70.73,67.6,54.55,80.14,70.63,70.84,67.39,80.84,67.17,67.16,65.33,73.87,83.16,12.71,43.27,76.31,63.26,83.1
India,Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2017",3,162,2427,67.74,80.3,67.23,86.16,82.09,66.18,82.57,74.29,65.84,89.25,79.43,83.73,79.9,86.53,74.73,75.15,75.28,83.31,89.5,7.6,41.15,80.72,76.97,91.1
India,Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2017",3,177,2484,71.62,74.11,65.18,84.3,80.69,68.3,78.62,69.57,52.02,87.2,79.83,80.07,73.34,85.63,74.75,72.64,71.26,82.13,88.39,18.92,48.93,81.64,70.66,89.37
India,Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2017",3,183,2517,66.63,73.79,66.91,84.27,83.06,69.79,79.26,73.18,39.32,86.29,79.33,82.84,79.39,86.53,73.82,79.38,76.4,79.5,89.05,22.25,46.12,82.84,74.98,88.32
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2017",3,183,3228,60.13,62,58.76,73.47,71.1,59.23,69.24,63.1,48.77,76.86,72.01,72.71,66.64,80.11,62.06,64.73,62.36,68.68,78.82,12.98,41.4,69.24,60.36,76.39
India,Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2017",3,183,2796,72.53,81.52,64.37,89.65,84.22,74.58,85.09,76.29,60.65,87.23,82.96,83.61,74.79,90.45,77.7,76.72,75,83.91,89.8,11.02,50.87,80.58,77.16,85.62
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Calendar Year (Jan - Dec), 2017",3,183,2010,61.04,79.57,63.03,80.15,77.52,69.01,80.45,74.93,59.45,85.67,75.33,75.94,76.32,87.16,71.88,70.9,73.43,75.97,87.27,15.2,55.49,77.76,70.21,87.91
India,Andhra Pradesh,Srikakulam,"Calendar Year (Jan - Dec), 2017",3,180,2442,63.51,76.69,66.1,81.14,79.41,69.64,78.99,67.32,65.66,85.63,78.05,81.13,76.27,86.49,73.13,70.64,74.08,79.48,89.28,14.94,39.35,78.5,74.69,88.57
India,Andhra Pradesh,Visakhapatnam,"Calendar Year (Jan - Dec), 2017",3,162,2463,60.41,72.64,64.98,81.12,76.85,61.58,76.74,62.36,46.52,84.41,77.53,77.1,73.15,81.12,70.31,72.59,63.58,73.45,86.43,16.23,27.36,79.9,66.4,84.53
India,Andhra Pradesh,Vizianagaram,"Calendar Year (Jan - Dec), 2017",3,183,2106,51.71,67.83,59.66,79.2,75.02,66.95,75.21,65.81,55.07,80.63,73.53,74.93,67.79,83.33,70.41,65.53,67.81,70.94,84.72,14.01,28.41,74.36,64.01,80.91
India,Andhra Pradesh,West Godavari,"Calendar Year (Jan - Dec), 2017",3,174,2289,59.24,78.53,63.77,78.7,75.47,50.13,78.51,66.58,54.62,85.85,72.69,74.78,69.37,77.46,67.41,66.45,67.1,71.3,85.32,13.16,39.4,73.26,64.18,86.5
India,Andhra Pradesh,Y.S.R.,"Calendar Year (Jan - Dec), 2017",3,177,2214,70.19,79.83,68.44,86.99,84.96,72.87,83.06,69.51,54.97,87.8,82.43,83.25,83.78,88.21,80.99,76.56,79,83.33,90.18,15.16,49.17,83.06,75.1,89.02
India,Arunachal Pradesh,Anjaw,"Calendar Year (Jan - Dec), 2017",3,105,597,44.72,45.56,58.01,57.29,53.73,58.72,42.21,43.72,33.33,53.27,59.05,56.38,50.92,63.82,47.34,50.25,44.22,40.2,76.47,27.52,17.78,63.32,43.8,69.35
India,Arunachal Pradesh,Changlang,"Calendar Year (Jan - Dec), 2017",3,180,2649,27.41,26.21,31.96,32.05,33.62,29.24,26.95,24.12,19.77,24.92,36.39,30.35,36.05,33.86,25.2,32.62,29.67,23.67,50.38,23.66,17.01,40.77,29.32,46.32
India,Arunachal Pradesh,Dibang Valley,"Calendar Year (Jan - Dec), 2017",3,18,189,57.14,64.52,64.31,54.76,60,40.63,50.79,44.44,29.03,58.73,57.94,58.41,53.13,65.08,44.94,49.21,50.79,39.68,86.17,62.5,35.48,74.6,40.8,85.71
